IHE-MADO,EU-MADO,MS,Consumer,Producer,Documentation,EHDS,EHDS-Consumer,EHDS-Producer
,,,,,,EHDSObservation.result,SHALL:display,SHALL:able-to-populate
,,,,,,EHDSObservation.result.value[x],SHALL:display,SHALL:able-to-populate
,,,,,,EHDSObservation.result.uncertainty,SHOULD:display,SHOULD:able-to-populate
,,,,,,EHDSObservation.result.uncertainty.value,,
,,,,,,EHDSObservation.result.uncertainty.type,,
,,,,,,EHDSObservation.result.dataAbsentReason,SHALL:display,SHALL:able-to-populate
,,,,,,EHDSObservation.referenceRange,SHALL:display,SHOULD:able-to-populate
,,,,,,EHDSObservation.referenceRange.low,,
,,,,,,EHDSObservation.referenceRange.high,,
,,,,,,EHDSObservation.referenceRange.normalValue,,
,,,,,,EHDSObservation.referenceRange.type,,
,,,,,,EHDSObservation.referenceRange.appliesTo,,
,,,,,,EHDSObservation.referenceRange.age,,
,,,,,,EHDSObservation.referenceRange.text,,
,,,,,,EHDSObservation.interpretation,,
,,,,,,EHDSObservation.note,,
,,,,,,EHDSObservation.component,,
,,,,,,EHDSObservation.component.type,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSObservation.component.originalName,SHOULD:display,SHOULD:able-to-populate
,,,,,,EHDSObservation.component.result,SHALL:display,SHALL:able-to-populate
,,,,,,EHDSObservation.component.result.value[x],,SHALL:able-to-populate
,,,,,,EHDSObservation.component.result.uncertainty,SHOULD:display,SHOULD:able-to-populate
,,,,,,EHDSObservation.component.result.uncertainty.value,,
,,,,,,EHDSObservation.component.result.uncertainty.type,,
,,,,,,EHDSObservation.component.result.dataAbsentReason,SHALL:display,SHALL:able-to-populate
,,,,,,EHDSObservation.component.referenceRange,SHALL:display,SHOULD:able-to-populate
,,,,,,EHDSObservation.component.referenceRange.low,,
,,,,,,EHDSObservation.component.referenceRange.high,,
,,,,,,EHDSObservation.component.referenceRange.normalValue,,
,,,,,,EHDSObservation.component.referenceRange.type,,
,,,,,,EHDSObservation.component.referenceRange.appliesTo,,
,,,,,,EHDSObservation.component.referenceRange.age,,
,,,,,,EHDSObservation.component.referenceRange.text,,
,,,,,,EHDSObservation.component.interpretation,,
,,,,,,EHDSObservation.derivedFrom[x],,
,,,,,,EHDSObservation.hasMember[x],,
,,,,,,EHDSOrganisation.identifier,,SHALL:able-to-populate
,,,,,,EHDSOrganisation.type,,
,,,,,,EHDSOrganisation.name,,SHALL:able-to-populate
,,,,,,EHDSOrganisation.address,,
,,,,,,EHDSOrganisation.telecom,,SHOULD:able-to-populate
,,,,,,EHDSOrganisation.partOf,,
,,,,,,EHDSPatient.dateOfBirth,,SHOULD:able-to-populate
,,,,,,EHDSPatient.deceased[x],,
,,,,,,EHDSPatient.address,,
,,,,,,EHDSPatient.telecom,,
,,,,,,EHDSPatientSummary.header,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSPatientSummary.header.subject,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSPatientSummary.header.identifier,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSPatientSummary.header.author[x],SHALL:process,SHALL:able-to-populate
,,,,,,EHDSPatientSummary.header.date,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSPatientSummary.header.status,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSPatientSummary.header.source,,
,,,,,,EHDSPatientSummary.header.language,SHOULD:process,SHOULD:able-to-populate
,,,,,,EHDSPatientSummary.header.documentType,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSPatientSummary.header.documentTitle,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSPatientSummary.header.period,,
,,,,,,EHDSPatientSummary.header.version,,
,,,,,,EHDSPatientSummary.header.attestation,,
,,,,,,EHDSPatientSummary.header.attestation.attester[x],,
,,,,,,EHDSPatientSummary.header.attestation.datetime,,
,,,,,,EHDSPatientSummary.header.legalAuthentication,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSPatientSummary.header.legalAuthentication.legalAuthenticator[x],,
,,,,,,EHDSPatientSummary.header.legalAuthentication.datetime,,
,,,,,,EHDSPatientSummary.header.eventType,,
,,,,,,EHDSPatientSummary.header.serviceSpecialty,,
,,,,,,EHDSPatientSummary.header.custodian,,
,,,,,,EHDSPatientSummary.presentedForm,SHOULD:display,SHOULD:able-to-populate
,,,,,,EHDSPatientSummary.alerts,SHOULD:process,SHOULD:able-to-populate
,,,,,,EHDSPatientSummary.alerts.generatedNarrative,SHOULD:display,SHOULD:able-to-populate
,,,,,,EHDSPatientSummary.alerts.medicalAlert,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSPatientSummary.alerts.note,SHOULD:display,SHOULD:able-to-populate
,,,,,,EHDSPatientSummary.allergiesAndIntolerances,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSPatientSummary.allergiesAndIntolerances.generatedNarrative,SHOULD:display,SHOULD:able-to-populate
,,,,,,EHDSPatientSummary.allergiesAndIntolerances.allergyIntolerance,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSPatientSummary.allergiesAndIntolerances.emptyReason,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSPatientSummary.allergiesAndIntolerances.note,SHOULD:display,SHOULD:able-to-populate
,,,,,,EHDSPatientSummary.problems,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSPatientSummary.problems.generatedNarrative,SHOULD:process,SHOULD:able-to-populate
,,,,,,EHDSPatientSummary.problems.emptyReason,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSPatientSummary.problems.problem,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSPatientSummary.problems.note,SHOULD:process,SHOULD:able-to-populate
,,,,,,EHDSPatientSummary.medicationSummary,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSPatientSummary.medicationSummary.generatedNarrative,SHOULD:display,SHOULD:able-to-populate
,,,,,,EHDSPatientSummary.medicationSummary.emptyReason,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSPatientSummary.medicationSummary.medicationUse,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSPatientSummary.medicationSummary.note,SHOULD:display,SHOULD:able-to-populate
,,,,,,EHDSPatientSummary.medicalDevicesAndImplants,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSPatientSummary.medicalDevicesAndImplants.generatedNarrative,SHOULD:process,SHOULD:able-to-populate
,,,,,,EHDSPatientSummary.medicalDevicesAndImplants.emptyReason,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSPatientSummary.medicalDevicesAndImplants.deviceUse,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSPatientSummary.medicalDevicesAndImplants.note,SHOULD:process,SHOULD:able-to-populate
,,,,,,EHDSPatientSummary.procedures,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSPatientSummary.procedures.generatedNarrative,SHOULD:process,SHOULD:able-to-populate
,,,,,,EHDSPatientSummary.procedures.emptyReason,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSPatientSummary.procedures.procedure,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSPatientSummary.procedures.note,SHOULD:process,SHOULD:able-to-populate
,,,,,,EHDSPatientSummary.immunisations,SHOULD:process,SHOULD:able-to-populate
,,,,,,EHDSPatientSummary.immunisations.generatedNarrative,SHOULD:process,SHOULD:able-to-populate
,,,,,,EHDSPatientSummary.immunisations.immunisation,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSPatientSummary.immunisations.note,SHOULD:process,SHOULD:able-to-populate
,,,,,,EHDSPatientSummary.functionalStatus,,
,,,,,,EHDSPatientSummary.functionalStatus.generatedNarrative,,
,,,,,,EHDSPatientSummary.functionalStatus.condition,,
,,,,,,EHDSPatientSummary.functionalStatus.assessment,,
,,,,,,EHDSPatientSummary.functionalStatus.note,,
,,,,,,EHDSPatientSummary.socialHistory,,
,,,,,,EHDSPatientSummary.socialHistory.generatedNarrative,,
,,,,,,EHDSPatientSummary.socialHistory.observation,,
,,,,,,EHDSPatientSummary.socialHistory.note,,
,,,,,,EHDSPatientSummary.pregnancyHistory,SHOULD:process,SHOULD:able-to-populate
,,,,,,EHDSPatientSummary.pregnancyHistory.generatedNarrative,SHOULD:process,SHOULD:able-to-populate
,,,,,,EHDSPatientSummary.pregnancyHistory.currentPregnancyStatus,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSPatientSummary.pregnancyHistory.previousPregnancies,,
,,,,,,EHDSPatientSummary.pregnancyHistory.note,SHOULD:process,SHOULD:able-to-populate
,,,,,,EHDSPatientSummary.travelHistory,,
,,,,,,EHDSPatientSummary.travelHistory.generatedNarrative,,
,,,,,,EHDSPatientSummary.travelHistory.travelHistory,,
,,,,,,EHDSPatientSummary.travelHistory.note,,
,,,,,,EHDSPatientSummary.patientStory,SHOULD:process,
,,,,,,EHDSPatientSummary.patientStory.note,,
,,,,,,EHDSPatientSummary.advanceDirectives,SHOULD:process,
,,,,,,EHDSPatientSummary.advanceDirectives.generatedNarrative,,
,,,,,,EHDSPatientSummary.advanceDirectives.advanceDirective,,
,,,,,,EHDSPatientSummary.advanceDirectives.note,,
,,,,,,EHDSPatientSummary.observationResults,,
,,,,,,EHDSPatientSummary.observationResults.generatedNarrative,,
,,,,,,EHDSPatientSummary.observationResults.result,,
,,,,,,EHDSPatientSummary.observationResults.note,,
,,,,,,EHDSPatientSummary.carePlans,,
,,,,,,EHDSPatientSummary.carePlans.generatedNarrative,,
,,,,,,EHDSPatientSummary.carePlans.carePlan,,
,,,,,,EHDSPatientSummary.carePlans.note,,
,,,,,,EHDSPregnancyHistory.header,,
,,,,,,EHDSPregnancyHistory.header.subject,,
,,,,,,EHDSPregnancyHistory.header.identifier,,
,,,,,,EHDSPregnancyHistory.header.author[x],,
,,,,,,EHDSPregnancyHistory.header.date,,
,,,,,,EHDSPregnancyHistory.header.status,,
,,,,,,EHDSPregnancyHistory.header.source,,
,,,,,,EHDSPregnancyHistory.header.language,,
,,,,,,EHDSPregnancyHistory.endDate,,
,,,,,,EHDSPregnancyHistory.outcome,,
,,,,,,EHDSPregnancyHistory.numberOfFetuses,,
,,,,,,EHDSPregnancyHistory.note,,
,,,,,,EHDSProcedure.header,,
,,,,,,EHDSProcedure.header.subject,,SHALL:able-to-populate
,,,,,,EHDSProcedure.header.identifier,,SHOULD:able-to-populate
,,,,,,EHDSProcedure.header.author[x],,
,,,,,,EHDSProcedure.header.date,,
,,,,,,EHDSProcedure.header.status,,SHALL:able-to-populate
,,,,,,EHDSProcedure.header.source,,
,,,,,,EHDSProcedure.header.language,,
,,,,,,EHDSProcedure.code,,SHALL:able-to-populate
,,,,,,EHDSProcedure.procedureDate[x],,SHALL:able-to-populate
,,,,,,EHDSProcedure.performer,,
,,,,,,EHDSProcedure.bodySite,,SHOULD:able-to-populate
,,,,,,EHDSProcedure.reason[x],,
,,,,,,EHDSProcedure.outcome,,
,,,,,,EHDSProcedure.complication,,
,,,,,,EHDSProcedure.deviceUsed,,
,,,,,,EHDSProcedure.focalDevice,,
,,,,,,EHDSProcedure.note,,SHOULD:able-to-populate
,,,,,,EHDSRelatedPerson.personalIdentifier,,SHOULD:able-to-populate
,,,,,,EHDSRelatedPerson.name,,SHOULD:able-to-populate
,,,,,,EHDSRelatedPerson.subject,,SHALL:able-to-populate
,,,,,,EHDSRelatedPerson.relationship,,SHALL:able-to-populate
,,,,,,EHDSRelatedPerson.address,,
,,,,,,EHDSRelatedPerson.telecom,,SHOULD:able-to-populate
,,,,,,EHDSServiceRequest.header,,
,,,,,,EHDSServiceRequest.header.subject,,
,,,,,,EHDSServiceRequest.header.identifier,,
,,,,,,EHDSServiceRequest.header.author[x],,
,,,,,,EHDSServiceRequest.header.date,,
,,,,,,EHDSServiceRequest.header.status,,
,,,,,,EHDSServiceRequest.header.source,,
,,,,,,EHDSServiceRequest.header.language,,
,,,,,,EHDSServiceRequest.description,,
,,,,,,EHDSServiceRequest.code,,
,,,,,,EHDSServiceRequest.quantity,,
,,,,,,EHDSServiceRequest.bodySite,,
,,,,,,EHDSServiceRequest.reason[x],,
,,,,,,EHDSServiceRequest.priority,,
,,,,,,EHDSServiceRequest.supportingInformation[x],,
,,,,,,EHDSServiceRequest.specimen,,
,,,,,,EHDSServiceRequest.encounter,,
,,,,,,EHDSServiceRequest.occurrence[x],,
,,,,,,EHDSServiceRequest.patientInstructions,,
,,,,,,EHDSSpecimen.identifier,,
,,,,,,EHDSSpecimen.status,,
,,,,,,EHDSSpecimen.type,,
,,,,,,EHDSSpecimen.specimenSource[x],,
,,,,,,EHDSSpecimen.parentSpecimen,,
,,,,,,EHDSSpecimen.request,,
,,,,,,EHDSSpecimen.combined,,
,,,,,,EHDSSpecimen.collection,,
,,,,,,EHDSSpecimen.collection.performer[x],,
,,,,,,EHDSSpecimen.collection.collected[x],,
,,,,,,EHDSSpecimen.collection.quantity,,
,,,,,,EHDSSpecimen.collection.method,,
,,,,,,EHDSSpecimen.collection.device,,
,,,,,,EHDSSpecimen.collection.bodySite,,
,,,,,,EHDSSpecimen.receivedDate,,
,,,,,,EHDSSpecimen.container,,
,,,,,,EHDSSpecimen.container.specimenQuantity,,
,,,,,,EHDSSpecimen.container.containerDevice,,
,,,,,,EHDSSpecimen.condition,,
,,,,,,EHDSSpecimen.note,,
,,,,,,EHDSTelecom.use,,
,,,,,,EHDSTelecom.type,,
,,,,,,EHDSTelecom.value,,
,,,,,,EHDSTravelHistory.header,,
,,,,,,EHDSTravelHistory.header.subject,,
,,,,,,EHDSTravelHistory.header.identifier,,
,,,,,,EHDSTravelHistory.header.author[x],,
,,,,,,EHDSTravelHistory.header.date,,
,,,,,,EHDSTravelHistory.header.status,,
,,,,,,EHDSTravelHistory.header.source,,
,,,,,,EHDSTravelHistory.header.language,,
,,,,,,EHDSTravelHistory.country,,
,,,,,,EHDSTravelHistory.period,,
