IHE-MADO,FHIR Imaging Study Manifest,EU-MADO,MS,Consumer,Producer,Documentation,EHDS,EHDS-Consumer,EHDS-Producer,DICOM-KOS
,MadoImagingStudy.series.instance.title,,,,,,,,,"SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> Image Library Entry (COMPOSITE) EV (113012, DCM, "" Key Object Description "" )"
,MadoImagingStudy.subject->Patient.name,,,,,,,,,"Patient Name (0010,0010)"
,MadoImagingStudy.subject->Patient.identifier,,,,,,,,,"Patient ID (0010,0020) & Type of Patient ID (0010,0022) & Issuer of Patient ID Qualifiers Sequence (0010,0026)"
,MadoImagingStudy.subject->Patient.birthdate,,,,,,,,,"Patient Birth Date (0010,0030)"
,MadoImagingStudy.subject->Patient.gender,,,,,,,,,"Patient Sex (0010,0040)"
,"MadoImagingStudy.basedOn[order].identifier
basedOn[order]->ServiceRequest.identifier[accession]",,,,,,,,,"AccessionNumber (0008,0050) & Issuer of Accession Number Sequence (0008,0051)"
,basedOn[order]->ServiceRequest.identifier[placer],,,,,,,,,"Referenced Request Sequence (0040,A370) -> Order Placer Identifier Sequence (0040,0026)"
,"MadoCreator manufacturer
MadoComposition.author[source-device]",,,,,,,,,"Manufacturer (0008,0070)"
,"MadoCreatorOrganization name
MadoComposition.author[source-organization]",,,,,,,,,"Institution Name (0008,0080) (V2 XON encoding)"
,"MadoCreatorOrganization identifier
MadoComposition.author[source-organization]",,,,,,,,,"Institution Name (0008,0080) (V2 XON encoding)"
